category,sub_category,name,lat,lon,address,phone,operator,kakao_id,category_name,data_source
education,kindergarten_or_daycare,오태초등학교 병설유치원,36.07023430643418,128.34960662391063,경북 구미시 금오대로10길 19-9,054-465-1311,,17188148,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,예나어린이집,36.0713756871255,128.348278586063,경북 구미시 금오대로3길 6-8,054-464-1191,,10632865,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,사랑샘어린이집,36.0711392176982,128.35199081767,경북 구미시 금오대로18길 15,054-464-5599,,9062268,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,남구미어린이집,36.0710482414881,128.353982811042,경북 구미시 금오대로24길 36,054-465-0558,,10189271,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,토마토어린이집,36.0719561505936,128.351467557387,경북 구미시 금오대로20길 5,054-464-1943,,18043849,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,라임어린이집,36.07372181517456,128.34767814722497,경북 구미시 금오대로9길 34,054-462-7979,,27227609,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,라임유치원,36.0738928422985,128.347855341157,경북 구미시 금오대로9길 30,054-462-7979,,23537915,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,한마음어린이집,36.08677257492111,128.34836498332706,경북 구미시 박정희로9길 21,054-465-0207,,1420186073,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,상모어린이집,36.08741878049019,128.34891781116312,경북 구미시 박정희로9길 14,054-464-8588,,9814326,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,한신어린이집,36.0848847172155,128.352599198288,경북 구미시 박정희로 76,054-465-6515,,1814236692,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,아띠어린이집,36.08673988146779,128.35214582011602,경북 구미시 박정희로 90-14,054-465-2323,,18434743,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,색동유치원,36.10697902781701,128.32981065400162,경북 구미시 공원로 343,054-456-3838,,17472400,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,우방신세계타운 어린이집,36.0835173568529,128.355817468346,경북 구미시 상사서로 17,,,26445540,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,색동숲어린이집,36.107128100910316,128.33018185497792,경북 구미시 공원로 345,054-455-3838,,17303019,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,리틀어린이집,36.0882062612147,128.353961748653,경북 구미시 상사서로5길 11,054-465-6646,,25870513,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,아이튼튼어린이집,36.0867258795836,128.356414357315,경북 구미시 상모로10길 40,054-461-9459,,9271984,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,주향몬테소리어린이집,36.1086696250614,128.333372852793,경북 구미시 형곡로27길 13,054-456-1350,,17061714,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,주향유치원,36.1084590117987,128.333835712635,경북 구미시 형곡로25길 11,054-456-1353,,21490182,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,글로리어린이집,36.0925139411276,128.35394237858,경북 구미시 상모로5길 35-6,054-464-8818,,15710360,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,세종어린이집,36.088581599787695,128.357584241582,경북 구미시 상모로10길 21-49,054-464-7158,,27515441,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,세종유치원,36.08884417552344,128.35747440234988,경북 구미시 상모로10길 21-33,054-464-7151,,8448874,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,베베어린이집,36.1068126597662,128.338276527867,경북 구미시 형곡로34길 7,054-453-2902,,13013324,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,봄빛어린이집,36.1106279658559,128.333601416132,경북 구미시 형곡로 109,054-455-8173,,15649968,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,동아유치원,36.10842323624786,128.3383360578815,경북 구미시 형곡로 211-9,054-451-2377,,8281800,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,뷰엔빌어린이집,36.0844579704749,128.36234817272583,경북 구미시 왕산로 28-12,054-462-2877,,27370389,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,동아어린이집,36.1083826135391,128.338423099894,경북 구미시 형곡로 211-9,054-453-3001,,27505450,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,맑은동심유치원,36.0971803412863,128.352161471835,경북 구미시 박정희로19길 15,054-463-6122,,1615782259,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,맑은동심어린이집,36.0972234874898,128.35217109406,경북 구미시 박정희로19길 15,054-463-6122,,10596621,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,상모유치원,36.0908898497777,128.358262349423,경북 구미시 상모로 71,054-464-9720,,23538297,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,왕산어린이집,36.085151634385326,128.36315948104422,경북 구미시 왕산로 28-12,054-465-6782,,1230993861,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,형곡중앙어린이집,36.11397302413452,128.33116912135802,경북 구미시 형곡동 138-1,054-441-2002,,25777189,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,그린나래어린이집,36.08583716808695,128.3634177830494,경북 구미시 왕산로 28-12,054-462-3616,,27441967,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,구미왕산초등학교 병설유치원,36.085873928403856,128.36533351580906,경북 구미시 왕산로 32,054-461-5639,,11853652,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,꿈나무I어린이집,36.08636877920328,128.36627131882108,경북 구미시 왕산로 28-13,054-464-6777,,969731724,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,도레이첨단소재새싹직장어린이집,36.089102668512005,128.36232952014493,경북 구미시 구미대로 20,054-463-1123,,893234489,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,아이나라어린이집,36.09333885618955,128.3578115193158,경북 구미시 상사동로13길 13,054-464-2344,,7984551,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,동화나라유치원,36.09368372158727,128.35902769312298,경북 구미시 상사동로 103,054-464-4119,,21769181,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,삼성SDI구미어린이집,36.0943383791236,128.360577872069,경북 구미시 상림로 91-4,054-461-0300,,26351180,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,해맑은유치원 (휴원),36.0894785591145,128.430892694726,경북 구미시 인동36길 59,,,10021191,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,우리어린이집,36.0905311606852,128.428167219954,경북 구미시 인동32길 58-10,054-471-1626,,9950327,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,푸르지오어린이집,36.0905740801927,128.432422505973,경북 구미시 인동36길 31,054-471-0885,,10026788,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,킨더하바유치원,36.08929489053716,128.44379922585108,경북 구미시 인동52길 42,054-476-6605,,23538861,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,꿈동이어린이집,36.0901547819717,128.440937185788,경북 구미시 인동46길 21-44,054-475-1583,,15538687,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,진평초등학교 병설유치원,36.0913508425872,128.427440391853,경북 구미시 인동30길 53,054-715-9952,,738500684,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,통통이어린이집,36.09130491395846,128.4358842617477,경북 구미시 인동36길 23-34,054-476-9877,,11938608,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,킨더바움브레인스쿨어린이집,36.0918164961122,128.429500603591,경북 구미시 인동32길 40-2,054-471-3114,,803777110,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,별하나유치원 (휴원),36.09133432559397,128.4405656854993,경북 구미시 인동46길 19,,,1532164025,"교육,학문 > 유아교육 > 유치원",kakao
education,kindergarten_or_daycare,해피아이어린이집,36.0922678428218,128.432453246227,경북 구미시 인동36길 31,054-476-0566,,12831809,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,진평어린이집,36.092328227582,128.429207875268,경북 구미시 인동32길 36-8,054-473-0032,,10773696,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,리더스어린이집,36.0921723574179,128.424741722278,경북 구미시 인동28길 58,054-474-9200,,20466324,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,앤아이어린이집,36.0912417806119,128.442116148145,경북 구미시 인동48길 17-6,,,198620616,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,창조어린이집,36.0907411279599,128.444927057276,경북 구미시 인동54길 20-33,054-473-3597,,27372463,"교육,학문 > 유아교육 > 어린이집",kakao
education,kindergarten_or_daycare,키즈스쿨어린이집,36.092346742993854,128.43497168900024,경북 구미시 인동36길 23-31,054-474-5339,,10816614,"교육,학문 > 유아교육 > 어린이집",kakao
