category,sub_category,name,lat,lon,address,phone,operator,osm_type,osm_id,data_source
convenience,supermarket_or_mart,원마트,36.096908,128.425141,,,,node,368691418,manual
convenience,supermarket_or_mart,ร้านไทย,36.094242,128.355424,,,,node,368691430,manual
convenience,supermarket_or_mart,제이마트,36.1507841,128.3164862,,,,node,368691432,manual
convenience,supermarket_or_mart,송죽할인마트,36.12277,128.501452,,,,node,368691437,manual
convenience,supermarket_or_mart,경북마트,36.12291,128.363253,,,,node,368691460,manual
convenience,supermarket_or_mart,옥계마트,36.137646,128.416249,,,,node,368691484,manual
convenience,supermarket_or_mart,봉곡마트,36.144288,128.309719,,,,node,368691497,manual
convenience,supermarket_or_mart,해피마트,36.1282359,128.3354446,,,,node,368691507,manual
convenience,supermarket_or_mart,공원마트,36.120092,128.353196,,,,node,368691511,manual
convenience,supermarket_or_mart,신화마트,36.12015,128.351797,,,,node,368691518,manual
convenience,supermarket_or_mart,웰빙마트,36.136833,128.426912,,,,node,368691522,manual
convenience,supermarket_or_mart,윙할인마트,36.1159627,128.3302635,,,,node,368691532,manual
convenience,supermarket_or_mart,신대백마트,36.1474651,128.4113988,,,,node,368691550,manual
convenience,supermarket_or_mart,굿할인마트,36.149105,128.315395,,,,node,368691562,manual
convenience,supermarket_or_mart,그랜드마트,36.1069873,128.3389515,,,,node,368691572,manual
convenience,supermarket_or_mart,뜨란채마트,36.141971,128.320389,,,,node,368691574,manual
convenience,supermarket_or_mart,그랜드마트,36.121353,128.379811,,,,node,368691586,manual
convenience,supermarket_or_mart,금봉홈마트,36.1190658,128.4299912,,,,node,368691587,manual
convenience,supermarket_or_mart,신동아마트,36.23997,128.302542,,,,node,368691596,manual
convenience,supermarket_or_mart,플래쉬마트,36.150345,128.313221,,,,node,368691600,manual
convenience,supermarket_or_mart,선산DC마트,36.239923,128.295855,,,,node,368691615,manual
convenience,supermarket_or_mart,풀그린마트,36.0933688,128.3544836,,,,node,368691618,manual
convenience,supermarket_or_mart,고아DC마트,36.212399,128.325716,,,,node,368691627,manual
convenience,supermarket_or_mart,큰바다마트,36.137087,128.416168,,,,node,368691630,manual
convenience,supermarket_or_mart,위너스마트,36.112403,128.340842,,,,node,368691634,manual
convenience,supermarket_or_mart,내고향 식자재마트,36.1534235,128.3083447,,,,node,368691637,manual
convenience,supermarket_or_mart,세이브마트,36.141501,128.333967,,,,node,368691640,manual
convenience,supermarket_or_mart,마트365,36.147722,128.413924,,,,node,368691645,manual
convenience,supermarket_or_mart,홈할인마트,36.137496,128.425438,,,,node,368691648,manual
convenience,supermarket_or_mart,007할인마트,36.1302957,128.3330677,,,,node,368691653,manual
convenience,supermarket_or_mart,뉴파워마트,36.157159,128.306457,,,,node,368691660,manual
convenience,supermarket_or_mart,에스에스마트,36.12212,128.364949,,,,node,368691675,manual
convenience,supermarket_or_mart,성원할인마트,36.128927,128.416825,,,,node,368691677,manual
convenience,supermarket_or_mart,비산할인마트,36.121351,128.374622,,,,node,368691682,manual
convenience,supermarket_or_mart,형남할인마트,36.107069,128.3313268,,,,node,368691684,manual
convenience,supermarket_or_mart,드림디씨마트,36.103203,128.336359,,,,node,368691692,manual
convenience,supermarket_or_mart,팍스할인마트,36.126969,128.340716,,,,node,368691695,manual
convenience,supermarket_or_mart,벽산할인마트,36.121345,128.379311,,,,node,368691697,manual
convenience,supermarket_or_mart,산동할인마트,36.1687113,128.4360507,,,,node,368691699,manual
convenience,supermarket_or_mart,도량할인마트,36.1522593,128.31218,,,,node,368691704,manual
convenience,supermarket_or_mart,부영그린마트,36.092471,128.435634,,,,node,368691706,manual
convenience,supermarket_or_mart,장천할인마트,36.124066,128.495361,,,,node,368691722,manual
convenience,supermarket_or_mart,(주)파워마트 (Pawo Mart),36.149018,128.310838,,,,node,368691729,manual
convenience,supermarket_or_mart,강산철물종합마트,36.136931,128.417045,,,,node,368691730,manual
convenience,supermarket_or_mart,삼육오할인마트,36.136501,128.345436,,,,node,368691741,manual
convenience,supermarket_or_mart,한양하이퍼마트,36.120002,128.432409,,,,node,368691749,manual
convenience,supermarket_or_mart,코리아할인마트,36.1068713,128.3387905,,,,node,368691756,manual
convenience,supermarket_or_mart,나이스할인마트,36.106458,128.426403,,,,node,368691760,manual
convenience,supermarket_or_mart,신동아할인마트,36.115155,128.424306,,,,node,368691770,manual
convenience,supermarket_or_mart,돌회마트,36.109532,128.42121,,,,node,368691787,manual
convenience,supermarket_or_mart,쇼핑천국할인마트,36.24817,128.303286,,,,node,368691796,manual
convenience,supermarket_or_mart,PC마트,36.107437,128.334067,,,,node,368691838,manual
convenience,supermarket_or_mart,타이어마트,36.131766,128.340382,,,,node,368691843,manual
convenience,supermarket_or_mart,한들문구할인마트,36.117622,128.42753,,,,node,368691851,manual
convenience,supermarket_or_mart,드림마트,36.132048,128.332849,,,,node,368691860,manual
convenience,supermarket_or_mart,형남할인마트,36.104184,128.336863,,,,node,368691869,manual
convenience,supermarket_or_mart,한양할인마트,36.115155,128.424306,,,,node,368691874,manual
convenience,supermarket_or_mart,플라워마트,36.131977,128.33566,,,,node,368691892,manual
convenience,supermarket_or_mart,정수기비데마트,36.110003,128.417936,,,,node,368691910,manual
convenience,supermarket_or_mart,이불나라이불마트,36.107812,128.420645,,,,node,368691915,manual
convenience,supermarket_or_mart,호승할인마트,36.0869054,128.3512088,,,,node,368691927,manual
convenience,supermarket_or_mart,중앙중고가전마트,36.130736,128.331555,,,,node,368691932,manual
convenience,supermarket_or_mart,갈비마트,36.113869,128.33876,,,,node,368691936,manual
convenience,supermarket_or_mart,정삿갓갈비마트,36.15706,128.330243,,,,node,368691945,manual
convenience,supermarket_or_mart,배윤박갈비마트,36.151093,128.310068,,,,node,368691959,manual
convenience,supermarket_or_mart,구미축협,36.113995,128.338761,,,,node,368940594,manual
convenience,supermarket_or_mart,구미칠곡축협,36.123279,128.363266,,,,node,368940599,manual
convenience,supermarket_or_mart,구미칠곡축협,36.130583,128.328243,,,,node,368940603,manual
convenience,supermarket_or_mart,구미칠곡축협,36.1254159,128.3401644,,,,node,368940606,manual
convenience,supermarket_or_mart,구미칠곡축협,36.1068004,128.3363544,,,,node,368940611,manual
convenience,supermarket_or_mart,구미칠곡축협,36.2414359,128.3013248,,,,node,368940612,manual
convenience,supermarket_or_mart,구미칠곡축협,36.1511189,128.3160293,,,,node,368940618,manual
convenience,supermarket_or_mart,구미축협,36.1295837,128.3106537,,,,node,368940621,manual
convenience,supermarket_or_mart,구미축협,36.187769,128.364576,,,,node,368940627,manual
convenience,supermarket_or_mart,GS25 구미광평점,36.1069196,128.3658198,,,,node,4648282430,manual
convenience,supermarket_or_mart,우리마트,36.1231896,128.3743103,,,,node,4663265815,manual
convenience,supermarket_or_mart,더존마트,36.1205164,128.3712992,,,,node,4663265818,manual
convenience,supermarket_or_mart,DC마트,36.1450104,128.3208363,구미시 송동로7길 25-2,,,node,4676686032,manual
convenience,supermarket_or_mart,구미보마트,36.2322196,128.3427773,,,,node,5138945421,manual
convenience,supermarket_or_mart,해평DC마트,36.1946537,128.3933372,,,,node,5209791123,manual
convenience,supermarket_or_mart,GS슈퍼마켓구미신당점,36.1580784,128.4329984,,,,node,6327737761,manual
convenience,supermarket_or_mart,GS슈퍼마켓구미인덕점,36.1628198,128.4379275,경상북도 구미시 신당인덕3로 1,+82 54-472-0678,,node,6327737762,manual
convenience,supermarket_or_mart,인동농협 하나로마트 양포지점,36.1467487,128.4194557,경상북도 구미시 옥계2공단로 466,+82 54 472 5678,,node,7362078285,manual
convenience,supermarket_or_mart,야호식자재도매마트,36.1401466,128.4383289,산호대로39길 14-45,,,node,12296828525,manual
convenience,supermarket_or_mart,Homeplus,36.102751,128.3637965,,,,node,12996575981,manual
convenience,supermarket_or_mart,E-Mart,36.1094655,128.3649283,경상북도 구미시 구미대로 256,+82 54-467-1234,,node,13008475969,manual
convenience,supermarket_or_mart,롯데마트,36.1137383,128.3655863,,,,node,13008475970,manual
convenience,supermarket_or_mart,대백마트,36.1308514,128.3228539,,,,way,471682186,manual
convenience,supermarket_or_mart,그랜드마트,36.1292363,128.3259129,,,,way,478542807,manual
convenience,supermarket_or_mart,금오슈퍼,36.1236698,128.3241524,,,,way,481051127,manual
convenience,supermarket_or_mart,동아백화점 구미점,36.1197324,128.3485806,,,,way,481209651,manual
convenience,supermarket_or_mart,나들가게 현대할인마트,36.1256125,128.3291924,,,,way,490873296,manual
convenience,supermarket_or_mart,올레길국수,36.124179,128.3321032,,,,way,492733726,manual
convenience,supermarket_or_mart,아름슈퍼,36.1091374,128.3369664,,,,way,503157496,manual
convenience,supermarket_or_mart,GS슈퍼마켓 구미형곡점,36.1119088,128.3377325,,,,way,508887565,manual
convenience,supermarket_or_mart,창안필마트,36.1062913,128.4247575,,,,way,548561007,manual
convenience,supermarket_or_mart,문성슈퍼,36.1606787,128.3527405,,,,way,555874024,manual
convenience,supermarket_or_mart,구미산동농협 하나로마트 봄점,36.155847,128.4345957,,,,way,675678303,manual
convenience,supermarket_or_mart,고아농협하나로마트 원호점,36.1521541,128.3293319,문장로 211,+82 54-443-8989,고아농협,way,768717963,manual
