category,sub_category,name,lat,lon,address,phone,operator,osm_type,osm_id,data_source
convenience,convenience_store,리스토아할인마트,36.0879351,128.3662177,,,,node,368691800,manual
convenience,convenience_store,365낚시마트,36.1174425,128.363754,,,,node,368691831,manual
convenience,convenience_store,영신문방구,36.2366514,128.3027528,,,,node,368724971,manual
convenience,convenience_store,GS25 구미병원점,36.139885,128.327717,,,GS리테일,node,368831938,manual
convenience,convenience_store,세븐일레븐 구미차병원점,36.114368,128.340584,,,코리아세븐,node,368831945,manual
convenience,convenience_store,CM편의점,36.090657,128.428938,,,,node,368949714,manual
convenience,convenience_store,CSN편의점,36.109868,128.420468,,,,node,368949722,manual
convenience,convenience_store,로손편의점,36.124872,128.342685,,,,node,368949727,manual
convenience,convenience_store,공원편의점,36.106458,128.426403,,,,node,368949730,manual
convenience,convenience_store,테마25시편의점,36.113833,128.332139,,,,node,368949743,manual
convenience,convenience_store,송정25시편의점,36.1151053,128.348993,,,,node,368949744,manual
convenience,convenience_store,2002할인마트(2002 Mart),36.0882859,128.3682559,,,,node,1721409991,manual
convenience,convenience_store,이마트24,36.0923822,128.4404382,,,,node,3740205123,manual
convenience,convenience_store,CU,36.0926464,128.4408004,,,BGF리테일,node,3740207525,manual
convenience,convenience_store,세븐일레븐,36.0932952,128.4325049,,,코리아세븐,node,3741163572,manual
convenience,convenience_store,CU,36.1397743,128.442068,,,BGF리테일,node,4631717266,manual
convenience,convenience_store,GS25,36.1397135,128.4394072,,,GS리테일,node,4631717267,manual
convenience,convenience_store,미니스탑 봉곡 도서관점,36.1514504,128.3080678,,,,node,4634748480,manual
convenience,convenience_store,GS25,36.0910936,128.4403276,,,,node,4639360375,manual
convenience,convenience_store,GS25,36.1412562,128.332525,,,GS리테일,node,4658964885,manual
convenience,convenience_store,GS25,36.1391201,128.396688,,,GS리테일,node,4663182765,manual
convenience,convenience_store,세븐일레븐,36.1378642,128.3973952,,,,node,4663183803,manual
convenience,convenience_store,GS25,36.1208707,128.3745149,,,GS리테일,node,4663265834,manual
convenience,convenience_store,GS25,36.1205241,128.3716933,,,GS리테일,node,4663265835,manual
convenience,convenience_store,GS25,36.1217817,128.377369,,,GS리테일,node,4663265844,manual
convenience,convenience_store,세븐일레븐,36.0900932,128.4413941,,,코리아세븐,node,4677499605,manual
convenience,convenience_store,세븐일레븐,36.090675,128.4309246,,,코리아세븐,node,4677499607,manual
convenience,convenience_store,세븐일레븐,36.0928168,128.4316949,,,코리아세븐,node,4677499608,manual
convenience,convenience_store,CU 구평부영점,36.0919311,128.4355545,,,BGF리테일,node,4679634724,manual
convenience,convenience_store,GS25 옥계희망점,36.1398989,128.4164322,산호대로25안길 1,,,node,4796110503,manual
convenience,convenience_store,이마트24,36.147303,128.3911199,,,,node,4857596339,manual
convenience,convenience_store,이마트24,36.1452656,128.3935482,,,,node,4857700336,manual
convenience,convenience_store,CU,36.1512536,128.3303447,,,BGF리테일,node,4893359696,manual
convenience,convenience_store,7-Eleven,36.1499772,128.331239,,,,node,4893359697,manual
convenience,convenience_store,대백마트,36.0996364,128.3850798,,,,node,5063409791,manual
