category,sub_category,name,lat,lon,address,phone,operator,source_type,source_id,data_source
convenience,convenience_store,GS25 구미대원점,36.069792566053,128.351861210449,경북 구미시 금오대로12길 21-4,,,kakao,1370798766,kakao
convenience,convenience_store,CU 구미오태원룸점,36.071186781953,128.353126048495,경북 구미시 금오대로22길 11,,,kakao,1954807809,kakao
convenience,convenience_store,GS25 구미오태중앙점,36.0702385298719,128.354982346007,경북 구미시 금오대로22길 29-26,,,kakao,1173072994,kakao
convenience,convenience_store,CU 구미상모e편한점,36.08401342171762,128.34714995157276,경북 구미시 모로실로 32-1,02-1577-8007,,kakao,1794798083,kakao
convenience,convenience_store,CU 구미금오산점,36.111411009266,128.314610636066,경북 구미시 금오산상가길 9-4,054-452-5989,,kakao,24372097,kakao
convenience,convenience_store,CU 구미상모청마루점,36.0863545241368,128.350518312593,경북 구미시 박정희로 80,,,kakao,87623877,kakao
convenience,convenience_store,GS25 금오산점,36.1116222716528,128.315067270404,경북 구미시 금오산상가길 9-8,054-454-3005,,kakao,12297495,kakao
convenience,convenience_store,CU 구미한신점,36.08454402028058,128.35356255229198,경북 구미시 박정희로 76-2,010-3302-2380,,kakao,27420248,kakao
convenience,convenience_store,세븐일레븐 구미형곡시영점,36.1044087511206,128.33404484665,경북 구미시 형곡서로 21-9,,,kakao,1885317916,kakao
convenience,convenience_store,CU 구미오태로드점,36.0707068997547,128.366431035647,경북 구미시 오태길 167,02-1577-8007,,kakao,2092395549,kakao
convenience,convenience_store,세븐일레븐 구미상모베스트점,36.0859957913552,128.355313812276,경북 구미시 상사서로 39,,,kakao,10717826,kakao
convenience,convenience_store,GS25 상모해오름점,36.08681837758803,128.35453079951034,경북 구미시 상모로4길 27,,,kakao,25757507,kakao
convenience,convenience_store,GS25 상모화성파크점,36.0859335078874,128.357074636214,경북 구미시 상모로10길 48,054-464-3128,,kakao,1287523546,kakao
convenience,convenience_store,CU 현대하이웨이셀프점,36.073611802449896,128.37442354453725,경북 구미시 낙동강변로 29,054-464-2400,,kakao,19202254,kakao
convenience,convenience_store,세븐일레븐 남구미IC점,36.0759052852223,128.376928901647,경북 구미시 낙동강변로 61,054-462-5519,,kakao,38057247,kakao
convenience,convenience_store,CU 진평럭키점,36.0907778340289,128.430377772413,경북 구미시 인동34길 44,,,kakao,1749518772,kakao
convenience,convenience_store,GS25 진평센타점,36.0910669680677,128.429482587236,경북 구미시 인동32길 47,054-471-0594,,kakao,744799766,kakao
convenience,convenience_store,세븐일레븐 구미구평희망점,36.09010912000542,128.44128719118734,경북 구미시 인동48길 32,,,kakao,16580164,kakao
convenience,convenience_store,GS25 인동가산로점,36.0922395285839,128.454251963583,경북 구미시 인동가산로 406,,,kakao,1814987135,kakao
convenience,convenience_store,GS25 구미구평점,36.0910369997895,128.446395799677,경북 구미시 인동54길 18,080-999-5425,,kakao,200808239,kakao
convenience,convenience_store,세븐일레븐 구미구평행복점,36.0914313400206,128.446425231687,경북 구미시 인동54길 14,,,kakao,1957262407,kakao
convenience,convenience_store,CU 구평예다음점,36.09302082060024,128.44665865567052,경북 구미시 인동가산로 337-7,,,kakao,1112756569,kakao
convenience,convenience_store,GS25 구미구평부영점,36.091116225220965,128.4401930969863,경북 구미시 인동46길 24,,,kakao,1725919320,kakao
convenience,convenience_store,세븐일레븐 구미구평타운점,36.0924200477798,128.441551448529,경북 구미시 인동48길 8,,,kakao,322055569,kakao
convenience,convenience_store,CU 구평희망점,36.0926945894067,128.440752615776,경북 구미시 인동46길 5,054-472-0455,,kakao,11420998,kakao
convenience,convenience_store,CU 구미구평부영2단지점,36.0943107229113,128.44199235698,경북 구미시 인동43길 22-42,,,kakao,375363089,kakao
convenience,convenience_store,CU 구평부영5단지점,36.09263242838548,128.4373751017105,경북 구미시 인동가산로 250-7,054-475-1569,,kakao,2004789028,kakao
convenience,convenience_store,GS25 구미구평사랑점,36.091542685915954,128.43521798376702,경북 구미시 인동36길 23-32,1644-5425,,kakao,1906548469,kakao
convenience,convenience_store,CU 구평부영점,36.091889124162755,128.43548519845393,경북 구미시 인동36길 23-33,,,kakao,1687783811,kakao
convenience,convenience_store,세븐일레븐 구미구평부영점,36.0929991889869,128.436698952228,경북 구미시 인동가산로 250-6,,,kakao,1379831212,kakao
convenience,convenience_store,CU 구미구평천생점,36.0953272044756,128.437642917383,경북 구미시 인동43길 22-1,054-472-4436,,kakao,19207869,kakao
convenience,convenience_store,CU 구미별빛공원점,36.0932116123884,128.434011465205,경북 구미시 인동38길 5-12,1577-8007,,kakao,246448913,kakao
convenience,convenience_store,GS25 뉴구평푸르지오점,36.0914798321996,128.431206543723,경북 구미시 인동36길 36-1,,,kakao,1873141596,kakao
convenience,convenience_store,세븐일레븐 구미구평원룸점,36.0944883378872,128.434252285633,경북 구미시 인동39길 6,,,kakao,13056074,kakao
convenience,convenience_store,세븐일레븐 구미구평점,36.0932732889107,128.432471495379,경북 구미시 인동36길 15,,,kakao,16641110,kakao
convenience,convenience_store,세븐일레븐 구미진평제일점,36.0928258555757,128.431606230618,경북 구미시 인동36길 24-4,,,kakao,13056217,kakao
convenience,convenience_store,세븐일레븐 구미구평센터점,36.0957496904623,128.434572778905,경북 구미시 인동35길 22-20,,,kakao,13056122,kakao
convenience,convenience_store,세븐일레븐 구미진평중앙점,36.0914782607706,128.428242091637,경북 구미시 인동32길 44-17,,,kakao,22671739,kakao
convenience,convenience_store,GS25 진평중앙점,36.0929919568934,128.430072599286,경북 구미시 인동32길 22-3,054-475-9755,,kakao,12297410,kakao
convenience,convenience_store,세븐일레븐 구미진평점,36.0937696230598,128.430752872888,경북 구미시 인동32길 13-2,,,kakao,13120042,kakao
convenience,convenience_store,CU 뉴진평센타점,36.0925946881004,128.428626469114,경북 구미시 인동32길 36-12,,,kakao,163354398,kakao
convenience,convenience_store,CU 구미인의한아름점,36.0967873353341,128.433707808093,경북 구미시 인동31길 28-39,054-475-7006,,kakao,16285410,kakao
convenience,convenience_store,CU 구미장천점,36.1270146301536,128.495186279327,경북 구미시 장천면 장군로 1,,,kakao,706148884,kakao
convenience,convenience_store,GS25 남통이편한점,36.1290589906521,128.316251229331,경북 구미시 선기로3길 17-19,,,kakao,815543883,kakao
convenience,convenience_store,세븐일레븐 구미남통점,36.1282452382578,128.317400653284,경북 구미시 선기로3길 46,,,kakao,784183448,kakao
convenience,convenience_store,세븐일레븐 구미형곡대영점,36.1082607318228,128.33189450012114,경북 구미시 공원로 370,,,kakao,915821457,kakao
convenience,convenience_store,CU 구미남통점,36.1292778787595,128.319289643735,경북 구미시 선기로1길 15,054-458-7282,,kakao,1206932581,kakao
convenience,convenience_store,GS25 형곡중앙점,36.109124279877754,128.33260094397892,경북 구미시 형곡로23길 4,,,kakao,19046726,kakao
convenience,convenience_store,세븐일레븐 구미형곡에이스점,36.1078734875979,128.33324945395,경북 구미시 형곡로 153,,,kakao,1458950658,kakao
convenience,convenience_store,CU 구미형곡아인점,36.106190884375195,128.33358858844642,경북 구미시 형곡로28길 11-8,054-472-9585,,kakao,19206123,kakao
convenience,convenience_store,GS25 구미형곡스톤점,36.1160650292493,128.33039811674,경북 구미시 형곡로10길 21,080-999-5425,,kakao,1436454980,kakao
convenience,convenience_store,씨스페이스24 구미남통점,36.1310983249725,128.318540302931,경북 구미시 선기로2길 6-5,02-590-8000,,kakao,1922694384,kakao
convenience,convenience_store,GS25 구미형곡타운점,36.10721719797743,128.33392021241818,경북 구미시 형곡로 162,080-999-5425,,kakao,524814214,kakao
convenience,convenience_store,CU 구미형곡슬민점,36.1050867774499,128.334578236188,경북 구미시 형곡서로 33-3,,,kakao,2027370061,kakao
convenience,convenience_store,세븐일레븐 구미형곡형일점,36.1140139199534,128.33218379173954,경북 구미시 형곡로 80,,,kakao,22014435,kakao
convenience,convenience_store,CU 구미원경점,36.11520911960309,128.33208514588216,경북 구미시 형곡로 68,,,kakao,1781236452,kakao
