category,sub_category,name,lat,lon,address,phone,operator,source_type,source_id,data_source
education,academy,인동자동차운전전문학원,36.0905035591136,128.452650078955,경북 구미시 인동가산로 384-26,054-475-7000,,kakao,8053056,kakao
education,academy,구미드론아카데미,36.09263175142464,128.45490093467782,경북 구미시 인동가산로 411,054-476-9727,,kakao,858181154,kakao
education,academy,홍익아트 구미지사,36.0905080828345,128.446018612634,경북 구미시 인동54길 32-38,054-471-7891,,kakao,1789109320,kakao
education,academy,수학스토리,36.0919536836393,128.446898899503,경북 구미시 인동54길 9,,,kakao,1496499288,kakao
education,academy,해법영어 예다음교습소,36.091983467979716,128.44689500442237,경북 구미시 인동54길 9,,,kakao,884720136,kakao
education,academy,원탑영수학원,36.0920840076375,128.446852436522,경북 구미시 인동54길 9,010-9368-4986,,kakao,1786205429,kakao
education,academy,앵쌤교실,36.0908052356962,128.440126358047,경북 구미시 인동46길 28,,,kakao,1790704148,kakao
education,academy,음악사랑피아노,36.0910595730871,128.440183181137,경북 구미시 인동46길 24,054-472-2232,,kakao,1532095789,kakao
education,academy,프라하음악학원,36.0923318664371,128.440341851772,경북 구미시 인동46길 10,054-472-3368,,kakao,15550134,kakao
education,academy,비비드미술교습소,36.0923375255904,128.440320859703,경북 구미시 인동46길 10,,,kakao,1062059412,kakao
education,academy,수토리영어교습소,36.0923375255617,128.440320859694,경북 구미시 인동46길 10,010-9804-2435,,kakao,193950090,kakao
education,academy,신나는송피아노,36.0914384166583,128.435196102851,경북 구미시 인동36길 23-32,054-473-0076,,kakao,15523206,kakao
education,academy,굿모닝미술,36.0914636428796,128.435196561567,경북 구미시 인동36길 23-32,,,kakao,17105677,kakao
education,academy,해법영어구평교실,36.0914709035584,128.435192252515,경북 구미시 인동36길 23-32,054-475-8205,,kakao,15610029,kakao
education,academy,삼성피아노,36.0918962385558,128.435493099783,경북 구미시 인동36길 23-33,,,kakao,9810138,kakao
education,academy,호산나피아노,36.0929669549695,128.436681711071,경북 구미시 인동가산로 250-6,054-474-3117,,kakao,1523001595,kakao
education,academy,삼성영어 구미구평교실,36.0929991889869,128.436698952228,경북 구미시 인동가산로 250-6,010-7511-9558,,kakao,292556066,kakao
education,academy,CM수학학원,36.095105830874736,128.43941872866696,경북 구미시 인동43길 22-31,054-472-2448,,kakao,94129468,kakao
education,academy,에코피아노교습소,36.093697103024,128.436587303651,경북 구미시 인동43길 5-5,,,kakao,1511206863,kakao
education,academy,데이튼어학원,36.09378402694058,128.43640235512783,경북 구미시 인동43길 5-7,054-472-0595,,kakao,19078431,kakao
education,academy,예일학원,36.09380930640192,128.43639837403455,경북 구미시 인동43길 5-7,054-473-0177,,kakao,1661588514,kakao
education,academy,한뜻영어한뜻수학학원,36.0922181699848,128.433592603192,경북 구미시 인동38길 15-16,054-476-2025,,kakao,1497599257,kakao
education,academy,퀘스트어학원,36.0922766135822,128.433528158159,경북 구미시 인동38길 15-16,054-473-0584,,kakao,22723606,kakao
education,academy,시매쓰사고력수학학원,36.0922838742044,128.433523848911,경북 구미시 인동38길 15-16,054-473-1707,,kakao,182633544,kakao
education,academy,김성곤대입국어학원 구평점,36.0924108752384,128.433679374824,경북 구미시 인동38길 15-14,054-475-1799,,kakao,1901201053,kakao
education,academy,클라라음악학원,36.0922675665547,128.433455825533,경북 구미시 인동38길 15-16,054-473-0900,,kakao,1499938634,kakao
education,academy,루트페르마학원,36.0924152892018,128.433611727697,경북 구미시 인동38길 15-14,,,kakao,1497837047,kakao
education,academy,아이캔 초등종합학원,36.0924197540681,128.433615139659,경북 구미시 인동38길 15-14,054-471-1279,,kakao,12764206,kakao
education,academy,구평 유니랭스 영어학원,36.0924129184759,128.433583927552,경북 구미시 인동38길 15-14,,,kakao,1436129594,kakao
education,academy,한결에이플러스학원,36.0924380915823,128.433588825939,경북 구미시 인동38길 15-14,054-476-1518,,kakao,1203477983,kakao
education,academy,책통클럽,36.092636410253725,128.43380893419106,경북 구미시 인동38길 9-16,010-8778-5224,,kakao,97395516,kakao
education,academy,플러스코딩학원,36.092329576091,128.433319276763,경북 구미시 인동36길 23-11,,,kakao,1510178343,kakao
education,academy,CYC김태일영어단과어학원,36.0923058084966,128.433272213266,경북 구미시 인동36길 23-11,054-476-0334,,kakao,1823641674,kakao
education,academy,초지학원,36.0927346522506,128.433807388129,경북 구미시 인동38길 9-16,010-9353-7603,,kakao,1598066219,kakao
education,academy,아소비 구미구평학원,36.09273644083991,128.43380853091145,경북 구미시 인동38길 9-16,070-4024-9891,,kakao,999125755,kakao
education,academy,정샘수학학원,36.09250658258817,128.43336246161923,경북 구미시 인동38길 15-8,054-476-0037,,kakao,19561975,kakao
education,academy,다빈치미술학원 구평점,36.0925243245744,128.433310600445,경북 구미시 인동38길 15-8,054-472-8888,,kakao,26842881,kakao
education,academy,메가플러스학원,36.0907059022856,128.43089273973,경북 구미시 진평동 1046-2,054-471-7959,,kakao,623813709,kakao
education,academy,MC어학원,36.0930247489978,128.433963658184,경북 구미시 인동38길 5-16,054-471-9040,,kakao,1452462709,kakao
education,academy,위드피아노,36.0913557893761,128.431632858252,경북 구미시 인동36길 35,054-474-1015,,kakao,1526962089,kakao
education,academy,다온수과학학원,36.0930600980736,128.433946535769,경북 구미시 인동38길 5-16,,,kakao,1815147545,kakao
education,academy,아트원미술교습소,36.093065948835914,128.43393501848777,경북 구미시 인동38길 5-16,,,kakao,21626561,kakao
education,academy,영음피아노,36.12726108047874,128.49312826311476,경북 구미시 장천면 강동로 207-9,054-471-5778,,kakao,822575956,kakao
education,academy,튼튼영어마스터클럽구미인동학원,36.0930683659604,128.433933362486,경북 구미시 인동38길 5-16,054-471-9040,,kakao,518913217,kakao
education,academy,흰까막서예한문,36.0927209370831,128.433447405676,경북 구미시 인동38길 15-7,054-473-9976,,kakao,10955516,kakao
education,academy,이음수학교습소,36.092756948,128.433450280311,경북 구미시 인동38길 15-7,,,kakao,1019959522,kakao
education,academy,파이데이아 아카데미아 구미지부,36.1058394909556,128.329042975608,경북 구미시 공원로 332,,,kakao,1147457609,kakao
education,academy,애플미술교습소,36.1289378326767,128.316288084578,경북 구미시 선기로3길 17-19,070-7612-0289,,kakao,2085389128,kakao
education,academy,JSY영어학원,36.12905899065215,128.316251229331,경북 구미시 선기로3길 17-19,054-443-0577,,kakao,19575623,kakao
education,academy,어울림피아노,36.1282577205456,128.317330881178,경북 구미시 선기로3길 46,,,kakao,1925357928,kakao
education,academy,로스어학원,36.10742406612882,128.3303090018864,경북 구미시 공원로 351,010-8291-1902,,kakao,1375787217,kakao
education,academy,부엉이미술,36.12829166141,128.317440307384,경북 구미시 선기로3길 46,,,kakao,1925249435,kakao
education,academy,플레이팩토 구미수학교실,36.1294981589741,128.317615988767,경북 구미시 선기로 77,010-8852-0620,,kakao,844403382,kakao
education,academy,캘큐러스수학,36.1082876375445,128.33190605964,경북 구미시 공원로 370,054-454-7773,,kakao,1762987431,kakao
education,academy,엘림수학,36.10811577366566,128.33196423624528,경북 구미시 공원로 370,010-6333-4528,,kakao,2004153605,kakao
education,academy,라인미술학원,36.106714190335495,128.33239698530755,경북 구미시 형곡서로1길 26,054-457-0641,,kakao,8933553,kakao
education,academy,쎈국어학원,36.1080878301509,128.332208078554,경북 구미시 형곡로 144,054-455-0450,,kakao,458517731,kakao
education,academy,1등급과학학원,36.1082486602651,128.332169705555,경북 구미시 공원로 372,,,kakao,1495819473,kakao
education,academy,포커스수학학원,36.10809585250417,128.332215987685,경북 구미시 형곡로 144,,,kakao,1765476469,kakao
education,academy,민샘수학,36.1082807866127,128.332198011167,경북 구미시 공원로 372,,,kakao,2003924481,kakao
education,academy,지쌤수학학원,36.1079869943607,128.332361847997,경북 구미시 형곡로 146,,,kakao,2004614274,kakao
education,academy,손깡영어교습소,36.10895425805228,128.332169406518,경북 구미시 형곡로 136,010-2819-9081,,kakao,25843597,kakao
education,academy,청과학교습소,36.1089930492849,128.33216561954,경북 구미시 형곡로 136,054-455-3955,,kakao,1848141513,kakao
education,academy,이호쌤영어학원,36.1091230363562,128.332145604237,경북 구미시 형곡로 134,054-441-0060,,kakao,15716693,kakao
education,academy,JS수학교실,36.1115986278896,128.331402244903,경북 구미시 형곡로18길 10,010-8449-7508,,kakao,1842532316,kakao
education,academy,MIL수학학원,36.10965863371228,128.33219796109748,경북 구미시 형곡로 130,054-440-0012,,kakao,25958311,kakao
education,academy,공터영어 솔루션영어학원,36.11011780931714,128.3321535208842,경북 구미시 형곡로 124,054-452-1132,,kakao,179856456,kakao
education,academy,솜니움수학학원,36.1101148717895,128.332174571673,경북 구미시 형곡로 124,,,kakao,2002417817,kakao
education,academy,상승영어학원,36.1081733080255,128.332705924691,경북 구미시 형곡로 147,054-455-1190,,kakao,305114667,kakao
education,academy,최영호S&M학원,36.1086491954076,128.332617349268,경북 구미시 형곡로 139-1,,,kakao,8586763,kakao
education,academy,와이엠학원,36.1295805362216,128.319464665733,경북 구미시 원남로4길 90,054-441-2384,,kakao,1131035751,kakao
education,academy,인재공감학원,36.1090986086369,128.332559420539,경북 구미시 형곡로23길 4,010-3477-1531,,kakao,2012589376,kakao
education,academy,박정민수학과학학원,36.108107696000175,128.33285251519584,경북 구미시 형곡로 149,054-451-8688,,kakao,18381530,kakao
education,academy,손석수학학원,36.1091250573342,128.332612062449,경북 구미시 형곡로23길 4,054-456-3955,,kakao,8453609,kakao
education,academy,로봇트리 로봇프로그래밍학원,36.1091249585202,128.332620945047,경북 구미시 형곡로23길 4,,,kakao,2014847319,kakao
education,academy,김현영어학원,36.1091240328438,128.332623150475,경북 구미시 형곡로23길 4,,,kakao,1185635060,kakao
education,academy,하이맵수학학원,36.1075924118137,128.332999280093,경북 구미시 형곡로26길 3,054-456-5630,,kakao,600452859,kakao
education,academy,희소수학전문학원,36.10759863214048,128.33300715879213,경북 구미시 형곡로26길 3,054-455-8885,,kakao,27266008,kakao
education,academy,스토리수학,36.114139358162475,128.3310408776954,경북 구미시 형곡로14길 14,070-4110-1979,,kakao,2078751795,kakao
education,academy,김동규과학수학,36.10802443404161,128.33304655945977,경북 구미시 형곡로 151,,,kakao,51247960,kakao
education,academy,썬영어쎈수학,36.1080179542547,128.33306199720343,경북 구미시 형곡로 151,,,kakao,51225005,kakao
education,academy,레이미국랭귀지스쿨 원남점,36.12897607876263,128.32050871032024,경북 구미시 선기로1길 21,,,kakao,10913493,kakao
education,academy,리더스영수입시학원,36.111759061096514,128.33212904528474,경북 구미시 형곡로 106,054-457-4800,,kakao,12135933,kakao
education,academy,퍼스널노하우수학학원,36.1079367780978,128.333230534387,경북 구미시 형곡로 153,,,kakao,1277479616,kakao
education,academy,콩나물학원,36.1079430725789,128.3332317513,경북 구미시 형곡로 153,054-456-3287,,kakao,119987558,kakao
education,academy,미술공감놀이터꼬바기,36.1141954288476,128.331347240466,경북 구미시 형곡로14길 10,010-5049-9037,,kakao,2079238240,kakao
education,academy,톡톡영어,36.1141963298201,128.331347255676,경북 구미시 형곡로14길 10,054-451-4009,,kakao,1276376881,kakao
education,academy,황인성수학학원,36.10739930731701,128.33349112203177,경북 구미시 형곡로 158,054-454-0226,,kakao,18854998,kakao
education,academy,아이콘학원,36.1073940058344,128.333498987877,경북 구미시 형곡로 158,054-458-7836,,kakao,2018269227,kakao
education,academy,비바영수학원,36.1073894020947,128.333507794123,경북 구미시 형곡로 158,054-443-0805,,kakao,2018321172,kakao
education,academy,윤성현플룻스튜디오,36.1123891003015,128.332116364851,경북 구미시 형곡로 98,054-453-3368,,kakao,1979513262,kakao
education,academy,한국민요연구소,36.1023746441254,128.335682771316,경북 구미시 형곡동로1길 5-9,010-2413-1956,,kakao,1443306347,kakao
education,academy,조하공부방,36.1028692016673,128.335374667231,경북 구미시 형곡동로1길 7,010-8482-1785,,kakao,976646054,kakao
education,academy,칸타빌레음악학원,36.10452126148121,128.3340567434271,경북 구미시 형곡서로 21-9,054-455-1378,,kakao,15234809,kakao
education,academy,올인원학원,36.1041135411088,128.335063701218,경북 구미시 형곡동로3길 9,054-454-5011,,kakao,2103174345,kakao
education,academy,박하향노래교실,36.1041552805119,128.335118820253,경북 구미시 형곡동로3길 9,010-5755-5432,,kakao,652978573,kakao
education,academy,윈클래스학원,36.1047935918582,128.335819226062,경북 구미시 형곡동로 29,,,kakao,556350119,kakao
education,academy,윤선생우리집앞영어교실 구미형남두산,36.1045024331689,128.336392849734,경북 구미시 형곡동로4길 5-3,010-6434-3039,,kakao,1455121793,kakao
education,academy,김보은아나운서스피치,36.1056865792116,128.335823242315,경북 구미시 형곡동로 39,050-6910-2233,,kakao,91767717,kakao
education,academy,박동복국어논술학원,36.10583480214469,128.3356225331658,경북 구미시 형곡동로 41-5,,,kakao,11302626,kakao
education,academy,지쌤수학,36.1057152122343,128.33584149493,경북 구미시 형곡동로 39,,,kakao,26492765,kakao
education,academy,채움영어학원,36.1072860718465,128.333642639729,경북 구미시 형곡로28길 4,054-715-7773,,kakao,962586259,kakao
education,academy,올바른수학영어학원,36.1071203562544,128.334200643098,경북 구미시 형곡로 166,,,kakao,2019277851,kakao
education,academy,햇님아코디언&색소폰 실용음악학원,36.106832413606114,128.33561832457718,경북 구미시 형곡로 177,010-9397-3276,,kakao,51642861,kakao
education,academy,맨하탄실용음악학원,36.1068751306588,128.335585732801,경북 구미시 형곡로 177,,,kakao,13558349,kakao
