category,sub_category,name,lat,lon,address,phone,operator,source_type,source_id,data_source
education,school,경북생활과학고등학교,36.198838,128.392831,,,,osm,node/368626636,manual
education,school,봉곡 중학교,36.158552,128.304695,봉곡서로11안길 9-8,,,osm,node/368925282,manual
education,school,도량초등학교,36.1443968,128.320323,,,,osm,node/368936011,manual
education,school,남계초등학교,36.181496,128.349137,,,,osm,node/368936051,manual
education,school,상모초등학교,36.0912033,128.3570872,,,,osm,node/1721410515,manual
education,school,상모중학교,36.0908392,128.3593831,,,,osm,node/1721411896,manual
education,school,상모고등학교,36.0845187,128.3516262,,,,osm,node/1721421178,manual
education,school,구미전자공업고등학교,36.1153004,128.404797,,,,osm,node/3740974326,manual
education,school,선주초등학교,36.15033,128.3111329,,,,osm,node/4628414012,manual
education,school,구미봉곡초등학교,36.1535087,128.3038662,,,,osm,node/4631940543,manual
education,school,다인음악학원,36.1398924,128.4163679,산호대로25안길 1,,,osm,node/4796110504,manual
education,school,고아초등학교,36.2120558,128.3293025,,,,osm,node/8718850154,manual
education,school,옥계동부중학교,36.1387719,128.4262192,옥계북로 87,,,osm,way/244419136,manual
education,school,옥계동부초등학교,36.1388649,128.4277976,옥계북로 89,,,osm,way/244419141,manual
education,school,금오중학교,36.0857442,128.370542,,,,osm,way/255366361,manual
education,school,황상초등학교,36.1186273,128.4274362,,,,osm,way/370392130,manual
education,school,구미중학교운동장,36.147071,128.3302108,,,,osm,way/439965345,manual
education,school,구미문장초등학교,36.1482655,128.3327736,,,,osm,way/441999513,manual
education,school,구평초등학교,36.0913451,128.4517536,,,,osm,way/469416941,manual
education,school,구평남부초등학교,36.0910863,128.4375419,,,,osm,way/469416946,manual
education,school,천생중학교,36.0903044,128.4374534,,,,osm,way/469416948,manual
education,school,인동고등학교,36.0899818,128.4322916,,,,osm,way/469416949,manual
education,school,진평초등학교,36.091374,128.4268878,,,,osm,way/469422160,manual
education,school,천생초등학교,36.0939234,128.4380584,,,,osm,way/469431026,manual
