category,sub_category,name,lat,lon,address,phone,operator,source_type,source_id,data_source
medical,hospital,빛사랑안과의원,36.0709933749907,128.348298700009,경북 구미시 금오대로 291,054-462-0070,,kakao,8343747,kakao
medical,hospital,수연합정형외과의원,36.0711075507776,128.348402768627,경북 구미시 금오대로 291,054-465-1199,,kakao,17068646,kakao
medical,hospital,리즈미의원,36.0711269601106,128.348439729852,경북 구미시 금오대로 291,054-461-3020,,kakao,1730027931,kakao
medical,hospital,더웰이비인후과의원,36.07076104915,128.348844179988,경북 구미시 금오대로 292,054-975-7575,,kakao,732941934,kakao
medical,hospital,구미연합신경외과의원,36.0707610491211,128.34884417997998,경북 구미시 금오대로 292,054-463-9779,,kakao,26628183,kakao
medical,hospital,이재익내과의원,36.07163134264,128.349903555189,경북 구미시 금오대로14길 3,054-465-7177,,kakao,11178326,kakao
medical,hospital,오태동물병원,36.0720840352556,128.350355295921,경북 구미시 금오대로 312,054-462-7050,,kakao,15297747,kakao
medical,hospital,남구미요양병원,36.077010470688904,128.35264359262297,경북 구미시 금오대로 378,054-716-1800,,kakao,1293992135,kakao
medical,hospital,삼우연합정형외과의원,36.07915762850888,128.35438272415465,경북 구미시 금오대로 402,054-451-9119,,kakao,9137161,kakao
medical,hospital,구미이튼365치과의원,36.08488058698429,128.35511814678222,경북 구미시 상사서로 33-7,054-465-7528,,kakao,10752628,kakao
medical,hospital,신세계치과의원,36.0851533770621,128.355539151552,경북 구미시 상사서로 31,054-465-2217,,kakao,10529239,kakao
medical,hospital,상모대한내과의원,36.0868064675695,128.35518562268263,경북 구미시 상사서로 49,054-462-8575,,kakao,1801402977,kakao
medical,hospital,대한피부과클리닉,36.0868826983175,128.35521801742,경북 구미시 상사서로 49,,,kakao,199065792,kakao
medical,hospital,권가정의학과의원,36.086361967191,128.355764182801,경북 구미시 상사서로 44,0503-7153-3270,,kakao,8198072,kakao
medical,hospital,상모더바른신경외과의원,36.087406349191724,128.35552898835473,경북 구미시 상사서로 56,054-464-7800,,kakao,1565180575,kakao
medical,hospital,본치과의원,36.088163443911,128.35503905270227,경북 구미시 상사서로 65,054-464-7528,,kakao,10381256,kakao
medical,hospital,수이비인후과의원,36.0874411321158,128.355640608143,경북 구미시 상사서로 56,054-465-3075,,kakao,11127459,kakao
medical,hospital,파티마 소아청소년과이비인후과,36.0881488972409,128.355528416618,경북 구미시 상사서로 64,054-464-2662,,kakao,9086581,kakao
medical,hospital,상모동물병원,36.088685625927894,128.35547990094292,경북 구미시 상사서로 68,,,kakao,9096121,kakao
medical,hospital,김승기가정의학과의원,36.1068545362474,128.335816368339,경북 구미시 형곡로 179,054-451-0363,,kakao,8795910,kakao
medical,hospital,UIC 시카고치과의원,36.1068654964801,128.335803227925,경북 구미시 형곡로 179,054-453-8228,,kakao,9692935,kakao
medical,hospital,중앙내과,36.1070026423214,128.335787782293,경북 구미시 형곡동로 53,054-458-1748,,kakao,25618256,kakao
medical,hospital,상모삼성연합의원,36.0899636764233,128.35601700907,경북 구미시 상모로 55,054-461-8277,,kakao,15538428,kakao
medical,hospital,김송 외과의원,36.1069222485053,128.33750103586,경북 구미시 형곡로 196-1,054-455-7555,,kakao,8793579,kakao
medical,hospital,평화당치과의원,36.1109963332987,128.334509419089,경북 구미시 형곡중앙로 24,054-456-2875,,kakao,10871316,kakao
medical,hospital,굿모닝가정의학과의원,36.0860183961792,128.363805043521,경북 구미시 왕산로 28-10,054-462-3747,,kakao,26885384,kakao
medical,hospital,진심인치과의원,36.086915624384,128.364227993547,경북 구미시 왕산로 27,054-463-2875,,kakao,1125827024,kakao
medical,hospital,현대종합동물병원,36.0944012703658,128.355347116254,경북 구미시 상사서로 133-3,054-464-8275,,kakao,18350730,kakao
medical,hospital,봄마취통증의학과의원,36.0948434849194,128.3552892014338,경북 구미시 상사서로 139-3,054-715-7582,,kakao,1417938960,kakao
medical,hospital,원우치과,36.094885189929265,128.3553465444778,경북 구미시 상사서로 139-3,054-463-0808,,kakao,26926539,kakao
